timestamp_auditoria;nome_arquivo;sucesso_extracao;motivo_falha_extracao;modelo_utilizado;tempo_processamento_s;tokens_prompt;tokens_completion;tokens_total;status_auditoria;regra;evidencia;grau_confianca;severidade
2026-04-22 12:40:19;arquivos_nf/DOC_0001.txt;SIM;não extraído;gpt-4o-mini-2024-07-18;4.7584;1497;140;1637;APROVADO;;;;
2026-04-22 12:40:19;arquivos_nf/DOC_0002.txt;SIM;não extraído;gpt-4o-mini-2024-07-18;3.7206;1498;143;1641;SUSPEITO;STATUS_INCONSISTENTE;Status 'CANCELADO' com data de pagamento preenchida.;0.85;MEDIA
2026-04-22 12:40:19;arquivos_nf/DOC_0003.txt;SIM;não extraído;gpt-4o-mini-2024-07-18;3.6674;1497;139;1636;APROVADO;;;;
2026-04-22 12:40:19;arquivos_nf/DOC_0004.txt;SIM;não extraído;gpt-4o-mini-2024-07-18;3.6893;1497;142;1639;APROVADO;;;;
2026-04-22 12:40:19;arquivos_nf/DOC_0005.txt;SIM;não extraído;gpt-4o-mini-2024-07-18;3.6394;1496;138;1634;APROVADO;;;;
2026-04-22 12:40:19;arquivos_nf/DOC_0006.txt;SIM;não extraído;gpt-4o-mini-2024-07-18;6.7991;1498;140;1638;APROVADO;;;;
2026-04-22 12:40:19;arquivos_nf/DOC_0007.txt;SIM;não extraído;gpt-4o-mini-2024-07-18;8.1109;1498;141;1639;APROVADO;;;;
2026-04-22 12:40:19;arquivos_nf/DOC_0008.txt;SIM;não extraído;gpt-4o-mini-2024-07-18;7.1877;1499;141;1640;SUSPEITO;STATUS_INCONSISTENTE;Status 'PENDENTE' com data de pagamento preenchida.;0.85;MEDIA
2026-04-22 12:40:19;arquivos_nf/DOC_0008.txt;SIM;não extraído;gpt-4o-mini-2024-07-18;7.1877;1499;141;1640;SUSPEITO;VALOR_FORA_DA_FAIXA;Valor R$ 15,000.00 está acima do desvio padrão do fornecedor (Média: R$ 9,911.05).;0.85;MEDIA
2026-04-22 12:40:19;arquivos_nf/DOC_0009.txt;SIM;não extraído;gpt-4o-mini-2024-07-18;7.1489;1495;139;1634;APROVADO;;;;
2026-04-22 12:40:19;arquivos_nf/DOC_0010.txt;SIM;não extraído;gpt-4o-mini-2024-07-18;7.2636;1497;141;1638;SUSPEITO;VALOR_FORA_DA_FAIXA;Valor R$ 19,500.00 está acima do desvio padrão do fornecedor (Média: R$ 10,009.85).;0.85;MEDIA
