nome_arquivo;tipo_documento;numero_documento;data_emissao;fornecedor;cnpj_fornecedor;descricao_servico;valor_bruto;data_pagamento;data_emissao_nf;aprovado_por;banco_destino;status;hash_verificacao;status_auditoria;total_anomalias;regras_disparadas
arquivos_nf/DOC_0001.txt;NOTA_FISCAL;NF-87397;29/01/2025;TechSoft Ltda;12.345.678/0001-90;Suporte Técnico Mensal;8500.0000;07/02/2025;28/01/2025;Maria Silva;Caixa Ag.0023 C/C 44321-0;PAGO;NLC0001542417;APROVADO;0;
arquivos_nf/DOC_0002.txt;NOTA_FISCAL;NF-38893;06/04/2023;TechSoft Ltda;12.345.678/0001-90;Implantação de Módulo;3500.0000;13/04/2023;05/04/2023;Carlos Mendes;Caixa Ag.0023 C/C 44321-0;CANCELADO;NLC0002571029;SUSPEITO;1;STATUS_INCONSISTENTE
arquivos_nf/DOC_0003.txt;RECIBO;NF-54118;07/01/2023;Limpeza & Facilities;56.789.012/0001-78;Controle de Pragas;15000.0000;01/02/2023;06/01/2023;Ana Beatriz;Banco do Brasil Ag.1234 C/C 56789-0;PAGO;NLC0003207175;APROVADO;0;
arquivos_nf/DOC_0004.txt;CONTRATO_ADITIVO;NF-59615;10/04/2023;TechSoft Ltda;12.345.678/0001-90;Licença de Software ERP;10000.0000;22/04/2023;08/04/2023;Roberto Lima;Caixa Ag.0023 C/C 44321-0;PAGO;NLC0004182627;APROVADO;0;
arquivos_nf/DOC_0005.txt;RECIBO;NF-20458;05/10/2024;Limpeza & Facilities;56.789.012/0001-78;Limpeza Predial;8500.0000;25/10/2024;03/10/2024;Maria Silva;Banco do Brasil Ag.1234 C/C 56789-0;PAGO;NLC0005996865;APROVADO;0;
arquivos_nf/DOC_0006.txt;NOTA_FISCAL;NF-97841;25/01/2024;DataCenter Cloud SA;23.456.789/0001-12;Backup Gerenciado;12000.0000;03/02/2024;22/01/2024;Ana Beatriz;Bradesco Ag.0001 C/C 99887-7;PAGO;NLC0006379946;APROVADO;0;
arquivos_nf/DOC_0007.txt;NOTA_FISCAL;NF-99733;30/06/2024;TechSoft Ltda;12.345.678/0001-90;Consultoria em TI;6000.0000;24/07/2024;29/06/2024;Roberto Lima;Bradesco Ag.0001 C/C 99887-7;PAGO;NLC0007440035;APROVADO;0;
arquivos_nf/DOC_0008.txt;NOTA_FISCAL;NF-37869;02/02/2023;TechSoft Ltda;12.345.678/0001-90;Atualização de Sistema;15000.0000;28/02/2023;31/01/2023;Maria Silva;Banco do Brasil Ag.1234 C/C 56789-0;PENDENTE;NLC0008787277;SUSPEITO;2;STATUS_INCONSISTENTE|VALOR_FORA_DA_FAIXA
arquivos_nf/DOC_0009.txt;CONTRATO_ADITIVO;NF-86622;20/10/2024;Marketing Digital Pro;45.678.901/0001-56;Campanha Google Ads;10000.0000;04/11/2024;19/10/2024;Carlos Mendes;Caixa Ag.0023 C/C 44321-0;PAGO;NLC0009549245;APROVADO;0;
arquivos_nf/DOC_0010.txt;CONTRATO_ADITIVO;NF-92240;06/01/2024;Limpeza & Facilities;56.789.012/0001-78;Limpeza Predial;19500.0000;14/01/2024;05/01/2024;Maria Silva;Itaú Ag.5678 C/C 12345-6;PAGO;NLC0010267753;SUSPEITO;1;VALOR_FORA_DA_FAIXA
arquivos_nf/DOC_0011.txt;NOTA_FISCAL;NF-99166;30/01/2024;Marketing Digital Pro;45.678.901/0001-56;Email Marketing;19500.0000;12/02/2024;26/01/2024;Ana Beatriz;Caixa Ag.0023 C/C 44321-0;PAGO;NLC0011855731;SUSPEITO;1;VALOR_FORA_DA_FAIXA
arquivos_nf/DOC_0012.txt;RECIBO;NF-10425;26/02/2025;TechSoft Ltda;12.345.678/0001-90;Atualização de Sistema;4200.0000;19/03/2025;24/02/2025;Roberto Lima;Banco do Brasil Ag.1234 C/C 56789-0;ESTORNADO;NLC0012857168;SUSPEITO;1;STATUS_INCONSISTENTE
arquivos_nf/DOC_0013.txt;NOTA_FISCAL;NF-59009;03/06/2024;Consultoria RH Parceiros;34.567.890/0001-34;Gestão de Benefícios;10000.0000;03/07/2024;03/06/2024;Fernanda Costa;Banco do Brasil Ag.1234 C/C 56789-0;PAGO;NLC0013899550;APROVADO;0;
arquivos_nf/DOC_0014.txt;NOTA_FISCAL;NF-17592;05/09/2024;DataCenter Cloud SA;23.456.789/0001-12;Hospedagem Cloud;3500.0000;16/09/2024;02/09/2024;Ana Beatriz;Bradesco Ag.0001 C/C 99887-7;PAGO;NLC0014352572;APROVADO;0;
arquivos_nf/DOC_0015.txt;NOTA_FISCAL;NF-82063;29/03/2023;Limpeza & Facilities;56.789.012/0001-78;Portaria e Recepção;4200.0000;22/04/2023;26/03/2023;Carlos Mendes;Banco do Brasil Ag.1234 C/C 56789-0;ESTORNADO;NLC0015273148;SUSPEITO;1;STATUS_INCONSISTENTE
